Convoluting,Convoluted
Embattling,Embattled
Decarburizing,Decarburized
Ingurgitating,Ingurgitated
Consulting,Consulted
Stifling,Stifled
Gracing,Graced
Truckling,Truckled
Frocking,Frocked
Double-declutching,Double-declutched
Postdating,Postdated
Defecting,Defected
Wafting,Wafted
Unsnarling,Unsnarled
Caressing,Caressed
Conjugating,Conjugated
Waffing,Waffed
Collapsing,Collapsed
Selling,Sold
Shrivelling,Shrivelled
Ratiocinating,Ratiocinated
Tarnishing,Tarnished
Jeopardizing,Jeopardized
Trowelling,Trowelled
Distempering,Distempered
Kraaling,Kraaled
Justling,Justled
Bracing,Braced
Coffing,Coffed
Pothering,Pothered
Playing,Played
Homologating,Homologated
Hurtling,Hurtled
Die-casting,Die-cast
Cinematographing,Cinematographed
Yawning,Yawned
Yawling,Yawled
Planning,Planned
Wiving,Wived
Mythologizing,Mythologized
Oystering,Oystered
Enigmatizing,Enigmatized
Double-stopping,Double-stopped
Fliting,Flited
Coveting,Coveted
Covering,Covered
Institutionalizing,Institutionalized
Dramatizing,Dramatized
Reproofing,Reproofed
Administrating,Administrated
Barrelling,Barrelled
Reheating,Reheated
Bulletining,Bulletined
Despising,Despised
Ovulating,Ovulated
Agonizing,Agonized
Affixing,Affixed
Misdating,Misdated
Desolating,Desolated
Freighting,Freighted
Impacting,Impacted
Shouldsting,Shouldsted
Surceasing,Surceased
Factoring,Factored
Foreordaining,Foreordained
Scuffing,Scuffed
De-horning,Dehorned
Resenting,Resented
Remedying,Remedied
Twilling,Twilled
Granulating,Granulated
Compassing,Compassed
Ulcerating,Ulcerated
Transubstantiating,Transubstantiated
Sleeving,Sleeved
Transshipping,Transshipped
Crying,Cried
Proclaiming,Proclaimed
Ceasing,Ceased
Obscuring,Obscured
Riveting,Riveted
Weathercocking,Weathercocked
Sewing,Sewed
Setting,Set
Unpicking,Unpicked
Overwhelming,Overwhelmed
Jading,Jaded
Nibbling,Nibbled
Sexing,Sexed
Seeing,Saw
Backfiring,Backfired
Winterfeeding,Winterfed
Contouring,Contoured
Electioneering,Electioneered
Showering,Showered
Outbreeding,Outbred
Phosphatizing,Phosphatized
Deactivating,Deactivated
Overindulging,Overindulged
Jerrybuilding,Jerrybuilt
Schematizing,Schematized
Knapping,Knapped
Motorizing,Motorized
Beatifying,Beatified
Kneeling,Knelt
Oxidizing,Oxidized
Mildewing,Mildewed
Superimposing,Superimposed
Loitering,Loitered
Disallowing,Disallowed
Sambaing,Sambaed
Deracinating,Deracinated
Mildening,Mildened
Lasting,Lasted
Exscinding,Exscinded
Lasing,Lased
Lashing,Lashed
Approving,Approved
Vesiculating,Vesiculated
Loading,Loaded
Loafing,Loafed
Dizening,Dizened
Belling,Belled
Loaming,Loamed
Loaning,Loaned
Gold-plating,Gold-plated
Scalloping,Scalloped
Churching,Churched
Underlaying,Underlaid
Entailing,Entailed
Deviling,Deviled
Seeping,Seeped
Rattling,Rattled
Maceing,Maced
Veneering,Veneered
Firming,Firmed
Championing,Championed
Firing,Fired
Infecting,Infected
Upstarting,Upstarted
Remarking,Remarked
Reasserting,Reasserted
Funding,Funded
Reviling,Reviled
Awaking,Awoke
Deporting,Deported
Funking,Funked
Budgeting,Budgeted
Admiring,Admired
Harrumphing,Harrumphed
Swimming,Swam
Pounding,Pounded
Screeching,Screeched
Comporting,Comported
Mimeographing,Mimeographed
Caramelizing,Caramelized
Swaging,Swaged
Hovering,Hovered
Enlacing,Enlaced
Vanishing,Vanished
Exulting,Exulted
Seeling,Seeled
Decoying,Decoyed
Transmigrating,Transmigrated
Shortening,Shortened
Surveying,Surveyed
Educing,Educed
Holystoning,Holystoned
Communing,Communed
Bestrewing,Bestrewed
Ingoting,Ingoted
Discontinuing,Discontinued
Alerting,Alerted
Exsecting,Exsected
Decolouring,Decoloured
Volplaning,Volplaned
Uncoiling,Uncoiled
Shriving,Shrove
Nicknaming,Nicknamed
Climbing,Climbed
Expending,Expended
Surrogating,Surrogated
Azotizing,Azotized
Concreting,Concreted
Obtesting,Obtested
Comprising,Comprised
Rejuvenescing,Rejuvenesced
Emblazoning,Emblazoned
Fluorescing,Fluoresced
Salving,Salved
House-training,House-trained
Deranging,Deranged
Cuckolding,Cuckolded
Cordoning,Cordoned
Formatting,Formatted
Coupling,Coupled
Intuiting,Intuited
Questing,Quested
Blackjacking,Blackjacked
Outstaying,Outstayed
Towelling,Towelled
Abducting,Abducted
Flannelling,Flannelled
Bruiting,Bruited
Constipating,Constipated
Continuing,Continued
Scaping,Scaped
Sugarcoating,Sugarcoated
Decreasing,Decreased
Disordering,Disordered
Sensitizing,Sensitized
Silencing,Silenced
Crescendoing,Crescendoed
Gargling,Gargled
Springing,Sprung
Comp`ering,Comp`ered
Bouncing,Bounced
Beckoning,Beckoned
Palming,Palmed
Peptizing,Peptized
Sprinting,Sprinted
Impanelling,Impanelled
Paling,Paled
Etymologizing,Etymologized
Untangling,Untangled
Disinfesting,Disinfested
Twinkling,Twinkled
Behaving,Behaved
Osculating,Osculated
Being,Were
Suburbanizing,Suburbanized
Hachuring,Hachured
Carolling,Carolled
Warding,Warded
Zipping,Zipped
Coexisting,Coexisted
Hatcheling,Hatcheled
Frizzling,Frizzled
Filagreeing,Filagreed
Upswelling,Upswelled
Repairing,Repaired
Reverencing,Reverenced
Noddling,Noddled
Recreating,Recreated
Appropriating,Appropriated
Blenching,Blenched
Spanning,Spanned
Traducing,Traduced
Phosphorating,Phosphorated
Spagging,Spagged
Chiding,Chided
Spaeing,Spaed
Occupying,Occupied
Spaying,Spayed
Mishandling,Mishandled
Suiting,Suited
Sparring,Sparred
Blueprinting,Blueprinted
Expounding,Expounded
Litigating,Litigated
Fidging,Fidged
Tallying,Tallied
Coediting,Coedited
Linking,Linked
Donning,Donned
Lining,Lined
Photosynthesizing,Photosynthesized
Angle-parking,Angle-parked
Haranguing,Harangued
Upping,Upped
Slandering,Slandered
Maturing,Matured
Readdressing,Readdressed
Dehumidifying,Dehumidified
Reconciling,Reconciled
Confiscating,Confiscated
Overlanding,Overlanded
Influencing,Influenced
Haunting,Haunted
Snaffling,Snaffled
Charring,Charred
Chapping,Chapped
Muckraking,Muckraked
Chawing,Chawed
Chatting,Chatted
Disremembering,Disremembered
Touzling,Touzled
Copulating,Copulated
Retracing,Retraced
Metaphrasing,Metaphrased
Invaliding,Invalided
Mistiming,Mistimed
Glairing,Glaired
Victualling,Victualled
Stillhunting,Stillhunted
Retracting,Retracted
Deviating,Deviated
Remilitarizing,Remilitarized
Scrubbing,Scrubbed
Besieging,Besieged
Obliging,Obliged
Kerfuffling,Kerfuffled
Scrumming,Scrummed
Worming,Wormed
Hackneying,Hackneyed
Landing,Landed
Wafering,Wafered
Overtopping,Overtopped
Metabolizing,Metabolized
Creasing,Creased
Feuding,Feuded
Disencumbering,Disencumbered
Crinkling,Crinkled
Freshing,Freshed
Menacing,Menaced
Essaying,Essayed
Coding,Coded
Piddling,Piddled
Scratching,Scratched
Broadening,Broadened
Guerdoning,Guerdoned
Softening,Softened
Toggling,Toggled
Euhemerizing,Euhemerized
Gossipping,Gossipped
Resonating,Resonated
Incrusting,Incrusted
Sending,Sent
Mimeographing,Mimeographed
Nielloing,Nielloed
Disliking,Disliked
Retiring,Retired
Gardening,Gardened
Torturing,Tortured
Nonplussing,Nonplussed
Snowshoeing,Snowshoed
Promising,Promised
Wiping,Wiped
Marrying,Married
Trying,Tried
Threating,Threated
Racing,Raced
Gauging,Gauged
Stodging,Stodged
Sextuplicating,Sextuplicated
Abetting,Abetted
Wracking,Wracked
Pledging,Pledged
Ligating,Ligated
Tittupping,Tittupped
Crooking,Crooked
Implying,Implied
Crooning,Crooned
Pouring,Poured
Carillonning,Carillonned
Indexing,Indexed
Twining,Twined
Randomizing,Randomized
Birring,Birred
Glissading,Glissaded
Throbbing,Throbbed
Birling,Birled
Proffering,Proffered
Puncing,Punced
Unmasking,Unmasked
Leing,Leed
Legging,Legged
Cosseting,Cosseted
Letting,Let
Reduplicating,Reduplicated
Licencing,Licenced
Denitrifying,Denitrified
Vinegaring,Vinegared
Engaging,Engaged
Coopting,Coopted
Receiving,Received
Cartelizing,Cartelized
Fetching,Fetched
Disenfranchising,Disenfranchised
Defeating,Defeated
Atomizing,Atomized
Riving,Rived
Recriminating,Recriminated
Countervailing,Countervailed
Siring,Sired
Disobeying,Disobeyed
Extricating,Extricated
Repugning,Repugned
Reckoning,Reckoned
Extirpating,Extirpated
Clyping,Clyped
Mortifying,Mortified
Soliloquizing,Soliloquized
Mutching,Mutched
Certificating,Certificated
Vocalizing,Vocalized
Levanting,Levanted
Processing,Processed
Duplicating,Duplicated
Doubting,Doubted
Intending,Intended
Pencilling,Pencilled
Shipwrecking,Shipwrecked
Unplugging,Unplugged
Aryanizing,Aryanized
Rubbishing,Rubbished
Babying,Babied
Oking,Oked
Gettering,Gettered
Casseroling,Casseroled
Entangling,Entangled
Forelocking,Forelocked
Pouting,Pouted
Challenging,Challenged
Weeing,Weed
Inculpating,Inculpated
Reproducing,Reproduced
Retelling,Retold
Thinning,Thinned
Drilling,Drilled
Fulfilling,Fulfilled
Pluging,Pluged
Wedging,Wedged
Anglifying,Anglified
Pawning,Pawned
Diabolizing,Diabolized
Locking,Locked
Sliming,Slimed
Locoing,Locoed
Sprucing,Spruced
Slitting,Slit
Bending,Bent
Slipping,Slipped
Martyring,Martyred
Trumpeting,Trumpeted
Work-hardening,Workhardened
Weakening,Weakened
Rhubarbing,Rhubarbed
Portaging,Portaged
Delaying,Delayed
Belly-laughing,Belly-laughed
Opining,Opined
Smutting,Smutted
Stanging,Stanged
Haltering,Haltered
Awaiting,Awaited
Electroforming,Electroformed
Ozonizing,Ozonized
Tiering,Tiered
Cabbaging,Cabbaged
Hawking,Hawked
Autographing,Autographed
Countering,Countered
Rough-casting,Roughcast
Writing,Writed
Allotting,Allotted
Allowing,Allowed
Lactating,Lactated
Alloying,Alloyed
Presupposing,Presupposed
Incandescing,Incandesced
Interstratifying,Interstratified
Muting,Muted
Moving,Moved
Parleyvooing,Parleyvooed
Phenolating,Phenolated
Perfecting,Perfected
Interlining,Interlined
Decaying,Decayed
Hypothesizing,Hypothesized
Disposing,Disposed
Interlinking,Interlinked
Shuddering,Shuddered
Decaling,Decaled
Cosponsoring,Cosponsored
Prospering,Prospered
Impetrating,Impetrated
Garbing,Garbed
Hebraizing,Hebraized
Earning,Earned
Laundering,Laundered
Docking,Docked
Sandpapering,Sandpapered
Kissing,Kissed
Caging,Caged
Realizing,Realized
Annotating,Annotated
Vernalizing,Vernalized
Concaving,Concaved
Feminizing,Feminized
Colonizing,Colonized
Effusing,Effused
Scorching,Scorched
Bumping,Bumped
Variegating,Variegated
Tacking,Tacked
Xylographing,Xylographed
Castigating,Castigated
Meting,Meted
Differing,Differed
Hackling,Hackled
Wandering,Wandered
Witnessing,Witnessed
Cessing,Cessed
Burking,Burked
Staring,Stared
Shutting,Shut
Wallpapering,Wallpapered
Perishing,Perished
Hydrogenizing,Hydrogenized
Expurgating,Expurgated
Decocting,Decocted
Grazing,Grazed
Tempting,Tempted
Initializing,Initialized
Embarrassing,Embarrassed
Gusseting,Gusseted
Preparing,Prepared
Spilling,Spilt
Scarping,Scarped
Putting,Put
Spiling,Spiled
Scaring,Scared
Cannonballing,Cannonballed
Scending,Sended
Dogmatizing,Dogmatized
Scenting,Scented
Badmouthing,Badmouthed
Pranking,Pranked
Impulse-buying,Impulse-bought
Dilapidating,Dilapidated
Fraying,Frayed
Havering,Havered
Accompanying,Accompanied
Aerating,Aerated
Chagrining,Chagrined
Barnstorming,Barnstormed
Burlesquing,Burlesqued
Nebulizing,Nebulized
Threshing,Threshed
Havening,Havened
Steeling,Steeled
Copyreading,Copyread
Wetting,Wetted
Dowering,Dowered
Caponizing,Caponized
Traipsing,Traipsed
Intertwining,Intertwined
Disbanding,Disbanded
Unmanning,Unmanned
Ambling,Ambled
Misunderstanding,Misunderstood
Prefabricating,Prefabricated
Beggaring,Beggared
Leaching,Leached
Gentling,Gentled
Skinnydipping,Skinnydipped
Delaminating,Delaminated
Outplaying,Outplayed
Hefting,Hefted
Soaking,Soaked
Photolithographing,Photolithographed
Apprizing,Apprized
Lilting,Lilted
Cozening,Cozened
Soaping,Soaped
Soaring,Soared
Voyaging,Voyaged
Ciphering,Ciphered
Vising,Vised
Medalling,Medalled
Tergiversating,Tergiversated
Duffing,Duffed
Undersetting,Underset
Amortizing,Amortized
Breying,Breyed
Reigniting,Reignited
Enlisting,Enlisted
Unscrambling,Unscrambled
Sideslipping,Sideslipped
Brewing,Brewed
Overrating,Overrated
Terminating,Terminated
Dissociating,Dissociated
Crimpling,Crimpled
Brining,Brined
Rouging,Rouged
Roughing,Roughed
Miniaturizing,Miniaturized
Redirecting,Redirected
Foredooming,Foredoomed
Disillusioning,Disillusioned
Pausing,Paused
Typewriting,Typewrote
Jawing,Jawed
Transfixing,Transfixed
Jarring,Jarred
Shoulding,Shoulded
Cocainizing,Cocainized
Jamming,Jammed
Taping,Taped
Unhallowing,Unhallowed
Enwombing,Enwombed
Jagging,Jagged
Annealing,Annealed
Flinching,Flinched
Hoping,Hoped
Handling,Handled
Winterkilling,Winterkilled
Scutching,Scutched
Pearling,Pearled
Wiggling,Wiggled
Rubricating,Rubricated
Wringing,Wrung
Smashing,Smashed
Disheartening,Disheartened
Summoning,Summoned
Transpiercing,Transpierced
Rappelling,Rappelled
Stuffing,Stuffed
Levigating,Levigated
Reining,Reined
Exuding,Exuded
Preserving,Preserved
Framing,Framed
Packeting,Packeted
Sclaffing,Sclaffed
Tiptoeing,Tiptoed
Wiring,Wired
Censing,Censed
Possing,Possed
Macadamizing,Macadamized
Slacking,Slacked
Destining,Destined
Pistolling,Pistolled
Crossstitching,Crossstitched
Keynoting,Keynoted
Tentering,Tentered
Interpolating,Interpolated
Wearying,Wearied
Drumming,Drummed
Forcefeeding,Forcefed
Drubbing,Drubbed
Ramping,Ramped
Drugging,Drugged
Disenthralling,Disenthralled
Cindering,Cindered
Itemizing,Itemized
Ticktocking,Ticktocked
Roughening,Roughened
Concluding,Concluded
Revamping,Revamped
Distilling,Distilled
Lustrating,Lustrated
Indicting,Indicted
Denitrating,Denitrated
Jubilating,Jubilated
Eluting,Eluted
Disjecting,Disjected
Quavering,Quavered
Mismanaging,Mismanaged
Entitling,Entitled
Feathering,Feathered
Wasting,Wasted
Deflowering,Deflowered
Ballasting,Ballasted
Crisscrossing,Crisscrossed
Huggermuggering,Huggermuggered
Neighbouring,Neighboured
Globe-trotting,Globe-trotted
Misguiding,Misguided
Banishing,Banished
Afforesting,Afforested
Bespangling,Bespangled
Fornicating,Fornicated
Sentimentalizing,Sentimentalized
Work-to-ruling,Work-to-ruled
Mauling,Mauled
Groining,Groined
Inarching,Inarched
Eyeballing,Eyeballed
Nictitating,Nictitated
Tenoning,Tenoned
Lushing,Lushed
Siting,Sited
Lusting,Lusted
Denuclearizing,Denuclearized
Dagging,Dagged
Overspending,Overspent
Conserving,Conserved
Ransoming,Ransomed
Tattooing,Tattooed
Dilating,Dilated
Ligaturing,Ligatured
Incarnadining,Incarnadined
Romancing,Romanced
Belching,Belched
Unteaching,Untaught
Covenanting,Covenanted
Balling,Balled
Baulking,Baulked
Dusking,Dusked
Baling,Baled
Drinking,Drank
Tasselling,Tasselled
Weighing,Weighed
Dusting,Dusted
Nidifying,Nidified
Expanding,Expanded
Auditing,Audited
Dislocating,Dislocated
Fascinating,Fascinated
Trudging,Trudged
Shotgunning,Shotgunned
Colouring,Coloured
Undernourishing,Undernourished
Enraging,Enraged
Depurating,Depurated
Commanding,Commanded
Circumstantiating,Circumstantiated
Disrelishing,Disrelished
Methodizing,Methodized
Depicting,Depicted
Snaking,Snaked
Gullying,Gullied
Deescalating,Deescalated
Fleshing,Fleshed
Overclouding,Overclouded
Glutting,Glutted
Inmeshing,Inmeshed
Parabolizing,Parabolized
Gluing,Glued
Permuting,Permuted
Webbing,Webbed
Doublebogeying,Doublebogeyed
Wedding,Wedded
Upraising,Upraised
Latticing,Latticed
Combining,Combined
Exempting,Exempted
Practising,Practised
Syncopating,Syncopated
Magnifying,Magnified
Taunting,Taunted
Criminalizing,Criminalized
Hauling,Hauled
Supervising,Supervised
Atrophying,Atrophied
Ticking,Ticked
Crisping,Crisped
Bulging,Bulged
Resining,Resined
Garaging,Garaged
Staggering,Staggered
Resitting,Resat
Imprisoning,Imprisoned
Becoming,Became
Spraining,Sprained
Guarantying,Guarantied
Muring,Mured
Griding,Grided
Soothsaying,Soothsaid
Flushing,Flushed
Wisecracking,Wisecracked
Balloting,Balloted
Transporting,Transported
Merging,Merged
Avoiding,Avoided
Mezzotinting,Mezzotinted
Sustaining,Sustained
Hispanicizing,Hispanicized
Disfeaturing,Disfeatured
Demarcating,Demarcated
Pilfering,Pilfered
Putting,Putted
Electrolyzing,Electrolyzed
Pressuring,Pressured
Tinting,Tinted
Belaying,Belayed
Subsuming,Subsumed
Staging,Staged
Disseizing,Disseized
Overreaching,Overreached
Ingesting,Ingested
Idolizing,Idolized
Grangerizing,Grangerized
Revising,Revised
Concretizing,Concretized
Rectifying,Rectified
Stultifying,Stultified
Vituperating,Vituperated
Assessing,Assessed
Saccharizing,Saccharized
Mucking,Mucked
Copolymerizing,Copolymerized
Reactivating,Reactivated
Overestimating,Overestimated
Jumpstarting,Jumpstarted
Divebombing,Divebombed
Discanting,Discanted
Paganizing,Paganized
Functioning,Functioned
Funnelling,Funnelled
Frisking,Frisked
Unbinding,Unbound
Unsticking,Unstuck
Foretasting,Foretasted
Grating,Grated
Counting,Counted
Computing,Computed
Shrunking,Shrunked
Smoothing,Smoothed
Convincing,Convinced
Freewheeling,Freewheeled
Enthroning,Enthroned
Appraising,Appraised
Kowtowing,Kowtowed
Fractionating,Fractionated
Recognizing,Recognized
Gasconading,Gasconaded
Contributing,Contributed
Denoting,Denoted
Withstanding,Withstood
Inking,Inked
Insolating,Insolated
Engorging,Engorged
Warsling,Warsled
Flummoxing,Flummoxed
Decarbonating,Decarbonated
Stockpiling,Stockpiled
Disforesting,Disforested
Beholding,Beheld
Vulgarizing,Vulgarized
Satirizing,Satirized
Dismissing,Dismissed
Freebooting,Freebooted
Dismantling,Dismantled
Vignetting,Vignetted
Crosscutting,Crosscut
Chancing,Chanced
Pacifying,Pacified
Scintillating,Scintillated
Repealing,Repealed
Masterminding,Masterminded
Veining,Veined
Ghosting,Ghosted
Unthreading,Unthreaded
Re-sounding,Resounded
Ruling,Ruled
Competing,Competed
Pensioning,Pensioned
Upspringing,Upsprung
Abhorring,Abhorred
Buoying,Buoyed
Rubefying,Rubefied
Brevetting,Brevetted
Divaricating,Divaricated
Revving,Revved
Copying,Copied
Preconditioning,Preconditioned
Shortchanging,Shortchanged
Rekindling,Rekindled
Defrauding,Defrauded
Lacing,Laced
Aquatinting,Aquatinted
Spewing,Spewed
Automatizing,Automatized
Bludgeoning,Bludgeoned
Tickling,Tickled
Biking,Biked
Man-handling,Manhandled
Dazing,Dazed
Dappling,Dappled
Wildcatting,Wildcatted
Psychologizing,Psychologized
Whacking,Whacked
Rainproofing,Rainproofed
Lacking,Lacked
Denudating,Denudated
Thermalizing,Thermalized
Blanketing,Blanketed
Distorting,Distorted
Hocuspocussing,Hocuspocussed
Begrudging,Begrudged
Retroceding,Retroceded
Sherardizing,Sherardized
Whishing,Whished
Daydreaming,Daydreamed
Pinching,Pinched
Affirming,Affirmed
Undersigning,Undersigned
Generalizing,Generalized
Whisting,Whisted
Reinventing,Reinvented
Triumphing,Triumphed
Chewing,Chewed
Pandying,Pandied
Disbudding,Disbudded
Horning,Horned
Blaspheming,Blasphemed
Guillotining,Guillotined
Homologizing,Homologized
Levitating,Levitated
Contemning,Contemned
Deliberating,Deliberated
Revolutionizing,Revolutionized
Disserving,Disserved
Bleeping,Bleeped
Unhanding,Unhanded
Murthering,Murthered
Swiving,Swived
Crunching,Crunched
Redeploying,Redeployed
Conglomerating,Conglomerated
,Undershot
Burgling,Burgled
X-raying,X-rayed
Overcalling,Overcalled
Studying,Studied
Reappraising,Reappraised
Disploding,Disploded
Bunkering,Bunkered
Maundering,Maundered
Jewing,Jewed
Synonymizing,Synonymized
Federalizing,Federalized
Nauseating,Nauseated
Shunning,Shunned
Glancing,Glanced
Totalling,Totalled
Plotting,Plotted
Plowing,Plowed
Reflating,Reflated
Plopping,Plopped
Acculturating,Acculturated
Glossing,Glossed
Insulting,Insulted
Plodding,Plodded
Beeswaxing,Beeswaxed
Vegetating,Vegetated
Plagiarizing,Plagiarized
Inflecting,Inflected
Ascribing,Ascribed
Awarding,Awarded
Scribbling,Scribbled
Overrunning,Overran
Wording,Worded
Erring,Erred
Shaming,Shamed
Working,Worked
Eclipsing,Eclipsed
Grovelling,Grovelled
Cuddling,Cuddled
Elbowing,Elbowed
Versifying,Versified
Quivering,Quivered
Polluting,Polluted
Flunking,Flunked
Federating,Federated
Repotting,Repotted
Impairing,Impaired
Womaning,Womaned
Radiotelegraphing,Radiotelegraphed
Electrodepositing,Electrodeposited
Betiding,Betided
Secerning,Secerned
Farcing,Farced
Particularizing,Particularized
Verifying,Verified
Photocopying,Photocopied
Severing,Severed
Rewinding,Rewound
Interviewing,Interviewed
Disappointing,Disappointed
Poleaxing,Poleaxed
Beaching,Beached
Underexposing,Underexposed
Countersinking,Countersank
Deliquescing,Deliquesced
Lamming,Lammed
Fevering,Fevered
Aggrading,Aggraded
Laddering,Laddered
Lagging,Lagged
Fatting,Fatted
Disentombing,Disentombed
Unreeving,Unrove
Arching,Arched
Scrummaging,Scrummaged
Sculling,Sculled
Invaginating,Invaginated
Alienating,Alienated
Appreciating,Appreciated
Greeting,Greeted
Stimulating,Stimulated
Hasting,Hasted
Scarfing,Scarfed
Worsting,Worsted
Remonstrating,Remonstrated
Ordering,Ordered
Devoting,Devoted
Consenting,Consented
Proportionating,Proportionated
Nattering,Nattered
Japanning,Japanned
Estranging,Estranged
Casefying,Casefied
Sheafing,Sheafed
Xeroxing,Xeroxed
Fagging,Fagged
Strafing,Strafed
Bespeaking,Bespoke
Precipitating,Precipitated
Savouring,Savoured
Shearing,Sheared
Banting,Banted
Swounding,Swounded
Fragmenting,Fragmented
Colliding,Collided
Breaking,Broke
Banding,Banded
Banging,Banged
Coffering,Coffered
Breaming,Breamed
Declutching,Declutched
Banking,Banked
Breading,Breaded
Crocking,Crocked
Absolving,Absolved
Naysaying,Naysayed
Misbehaving,Misbehaved
Outstretching,Outstretched
Pin-pointing,Pinpointed
Flocking,Flocked
Trenching,Trenched
Networking,Networked
Engraving,Engraved
Monotonizing,Monotonized
Redeveloping,Redeveloped
Vetoing,Vetoed
Apotheosizing,Apotheosized
Puttying,Puttied
Mutilating,Mutilated
Drenching,Drenched
Renewing,Renewed
Opposing,Opposed
Reconditioning,Reconditioned
Regressing,Regressed
Disafforesting,Disafforested
Vanquishing,Vanquished
Organizing,Organized
Rendering,Rendered
Reenacting,Reenacted
Jackknifing,Jackknifed
Hamstringing,Hamstrung
Operatizing,Operatized
Guzzling,Guzzled
Unsnapping,Unsnapped
Disembarking,Disembarked
Headreaching,Headreached
Tangling,Tangled
Equipoising,Equipoised
Illustrating,Illustrated
Centrifuging,Centrifuged
Unfettering,Unfettered
Vibrating,Vibrated
Compromising,Compromised
Fumbling,Fumbled
Gate-crashing,Gate-crashed
Inflating,Inflated
Filibustering,Filibustered
Effacing,Effaced
Decentralizing,Decentralized
Scanting,Scanted
Tithing,Tithed
Rebuffing,Rebuffed
Earbashing,Earbashed
Septupling,Septupled
Hiking,Hiked
Incasing,Incased
Ironing,Ironed
Encashing,Encashed
Tritiating,Tritiated
Effectuating,Effectuated
Rewriting,Rewrote
Temporizing,Temporized
Navigating,Navigated
Resounding,Resounded
Metathesizing,Metathesized
Sconcing,Sconced
Lulling,Lulled
Cadging,Cadged
Pondering,Pondered
Quarrying,Quarried
Widening,Widened
Leapfrogging,Leapfrogged
Rehousing,Rehoused
Transmitting,Transmitted
Pilgrimaging,Pilgrimaged
Finagling,Finagled
Quietening,Quietened
Writhing,Writhed
Backcrossing,Backcrossed
Affiancing,Affianced
Fillagreeing,Fillagreed
Phasing,Phased
Graving,Graven
Unshipping,Unshipped
Syllabizing,Syllabized
Demagnetizing,Demagnetized
Vouching,Vouched
Swamping,Swamped
Bracketing,Bracketed
Oppressing,Oppressed
Reserving,Reserved
Iodating,Iodated
Toasting,Toasted
Tautening,Tautened
Re-dressing,Redressed
Doing,Did
Reorientating,Reorientated
Aestivating,Aestivated
Whamming,Whammed
Photostatting,Photostatted
Steading,Steaded
Psyching,Psyched
Recurving,Recurved
Disinclining,Disinclined
Bothering,Bothered
Compering,Compered
Rereading,Reread
Misdirecting,Misdirected
Bioassaying,Bioassayed
Misnaming,Misnamed
Ruffling,Ruffled
Mitching,Mitched
Begriming,Begrimed
Drawling,Drawled
Breakawaying,Breakawayed
Disorganizing,Disorganized
Embodying,Embodied
Emulsifying,Emulsified
Unfolding,Unfolded
Aneling,Aneled
Copping,Copped
Cowing,Cowed
Coxing,Coxed
Braying,Brayed
Cobbing,Cobbed
Bragging,Bragged
Codding,Codded
Cogging,Cogged
Cooing,Cooed
Conning,Conned
Toning,Toned
Abbreviating,Abbreviated
Spearing,Speared
Boxhauling,Boxhauled
Refiling,Refiled
Edulcorating,Edulcorated
Speaking,Spoke
Impersonalizing,Impersonalized
Revegetating,Revegetated
Accentuating,Accentuated
Backwashing,Backwashed
Christianizing,Christianized
Revoicing,Revoiced
Exciting,Excited
Hacksawing,Hacksawed
Overtaxing,Overtaxed
Happing,Happed
Hoisting,Hoisted
Spellbinding,Spellbound
Disarranging,Disarranged
Nosediving,Nosedived
Inhibiting,Inhibited
Solvating,Solvated
Sculpting,Sculpted
Airing,Aired
Aiming,Aimed
Ailing,Ailed
Thrashing,Thrashed
Aiding,Aided
Voicing,Voiced
Mistaking,Mistook
Sousing,Soused
Dislimning,Dislimned
Stinging,Stung
Dizzying,Dizzied
Braking,Braked
Coning,Coned
Exiling,Exiled
Uplifting,Uplifted
Conking,Conked
Stinting,Stinted
Deadheading,Deadheaded
Feazing,Feazed
Performing,Performed
Grappling,Grappled
Descending,Descended
Hanking,Hanked
Raiding,Raided
Fussing,Fussed
Coproducing,Coproduced
Swelling,Swelled
Hanging,Hung
Raining,Rained
Handing,Handed
Larruping,Larruped
Nixing,Nixed
Fuzing,Fuzed
Descrying,Descried
Sweettalking,Sweettalked
Deemphasizing,Deemphasized
Jangling,Jangled
Humbling,Humbled
Dripping,Dripped
Gratulating,Gratulated
Jaywalking,Jaywalked
Contacting,Contacted
Sniggering,Sniggered
Singlespacing,Singlespaced
Skivvying,Skivvied
Bereaving,Bereaved
Mingling,Mingled
Hallooing,Hallooed
Dignifying,Dignified
Reposing,Reposed
Rarifying,Rarified
Extolling,Extolled
Rollerskating,Rollerskated
Interweaving,Interwove
Varityping,Varityped
Attempering,Attempered
Exalting,Exalted
Shouting,Shouted
Spreading,Spread
Boarding,Boarded
Basseting,Basseted
Shouldering,Shouldered
Retreading,Retreaded
Botanizing,Botanized
Barging,Barged
Retreating,Retreated
Disadvantaging,Disadvantaged
Rustling,Rustled
Overflying,Overflew
Airdropping,Airdropped
Kyanizing,Kyanized
Snugging,Snugged
Revalorizing,Revalorized
Grizzling,Grizzled
Reassigning,Reassigned
Auguring,Augured
Tholing,Tholed
Antiquing,Antiqued
Snubbing,Snubbed
Flattering,Flattered
Riling,Riled
Hassling,Hassled
Flattening,Flattened
Boring,Bored
Glamourizing,Glamourized
Ceding,Ceded
Matriculating,Matriculated
Vassalizing,Vassalized
Peeking,Peeked
Peening,Peened
Peeling,Peeled
Pulverizing,Pulverized
Elucidating,Elucidated
Posing,Posed
Conferring,Conferred
